PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Bo Horvat,VAN/NYI,C,C,79,38,32,70,-1,5,18,57,55,229,20222023,251.4,3.1823
Anders Bjork,BUF/CHI,W,W,14,2,6,8,4,0,2,8,4,15,20222023,25,1.7857
Wade Allison,PHI,W,W,60,9,6,15,-3,0,36,190,62,89,20222023,112.5,1.875
Clayton Keller,ARI,W,W,82,37,49,86,-2,1,49,18,34,223,20222023,266.8,3.2537
Zach Bogosian,TBL,D,D,46,1,4,5,-4,0,42,114,50,54,20222023,58.4,1.2696
Yegor Sharangovich,NJD,C,C,75,13,17,30,-3,4,16,22,41,131,20222023,115,1.5333
J.T. Compher,COL,W,W,82,17,35,52,8,0,33,37,82,154,20222023,186.2,2.2707
Austin Watson,OTT,W,W,75,9,2,11,-7,3,123,165,61,79,20222023,96,1.28
Jacob Bryson,BUF,D,D,59,1,8,9,-24,1,8,34,69,27,20222023,44.7,0.7576
Devin Shore,EDM,C,C,47,1,8,9,6,0,4,46,24,33,20222023,43.8,0.9319
Andrew Peeke,CBJ,D,D,80,6,7,13,-41,1,22,180,197,90,20222023,132.8,1.66
Filip Forsberg,NAS,W,W,50,19,23,42,-4,0,20,86,20,157,20222023,156.4,3.128
Jake Walman,DET,D,D,63,9,9,18,10,0,45,47,121,140,20222023,121.7,1.9317
Casey Cizikas,NYI,C,C,81,6,15,21,0,2,54,188,58,111,20222023,125.2,1.5457
Haydn Fleury,TBL,D,D,29,0,1,1,-10,0,14,30,30,33,20222023,20.6,0.7103
Dennis Gilbert,CGY,D,D,23,1,3,4,0,0,27,55,26,13,20222023,30.4,1.3217
Connor Brown,WAS,W,W,4,0,0,0,-3,0,0,6,1,2,20222023,1,0.25
Robert Hagg,DET,D,D,38,2,5,7,-5,0,26,111,47,40,20222023,58.8,1.5474
Luke Kunin,SJS,C,C,31,5,8,13,-9,0,42,63,27,58,20222023,60.6,1.9548
Ryan Johansen,NAS,C,C,55,12,16,28,-13,0,32,49,19,86,20222023,96.8,1.76
Givani Smith,DET/FLA,W,W,36,1,3,4,-2,0,72,67,8,30,20222023,30.2,0.8389
William Nylander,TOR,W,W,82,40,47,87,10,0,28,18,26,293,20222023,287,3.5
Steven Stamkos,TBL,C,CW,81,34,50,84,-5,0,46,92,51,240,20222023,282.2,3.484
Brayden Schenn,STL,C,CW,82,21,44,65,-27,0,50,140,41,144,20222023,212,2.5854
Kevin Stenlund,WPG,C,C,54,6,3,9,3,2,20,31,28,63,20222023,52.1,0.9648
Logan Stanley,WPG,D,D,19,1,2,3,-1,0,21,44,20,11,20222023,23.7,1.2474
Zach Werenski,CBJ,D,D,13,3,5,8,-6,0,0,5,24,41,20222023,33.6,2.5846
Seth Jones,CHI,D,D,72,12,25,37,-38,1,30,106,125,178,20222023,168.9,2.3458
Johnny Gaudreau,CBJ,W,W,80,21,53,74,-33,0,22,5,18,220,20222023,209.5,2.6188
Conor Timmins,ARI/TOR,D,D,27,2,12,14,-1,0,8,23,18,19,20222023,43.5,1.6111
Conor Sheary,WAS,W,W,82,15,22,37,9,2,22,57,39,154,20222023,145.6,1.7756
Andrew Mangiapane,CGY,W,W,82,17,26,43,12,2,40,86,26,182,20222023,168,2.0488
Jake Guentzel,PIT,W,W,78,36,37,73,2,0,46,83,46,244,20222023,261.8,3.3564
Anze Kopitar,LAK,C,C,82,28,46,74,20,1,4,68,87,169,20222023,255.5,3.1159
Sean Kuraly,CBJ,C,C,71,11,9,20,-28,2,68,187,46,100,20222023,113.8,1.6028
Milan Lucic,CGY,W,W,77,7,12,19,-13,0,43,168,15,73,20222023,93.8,1.2182
Robert Thomas,STL,C,C,73,18,47,65,-8,1,22,15,29,106,20222023,178.5,2.4452
Jordan Kyrou,STL,C,CW,79,37,36,73,-38,1,22,14,35,272,20222023,239.3,3.0291
Seth Jarvis,CAR,C,CW,82,14,25,39,10,1,12,73,48,187,20222023,161.4,1.9683
Shea Theodore,VGK,D,D,55,8,33,41,16,0,18,16,86,136,20222023,151,2.7455
Anthony Duclair,FLA,W,W,20,2,7,9,4,0,2,20,9,43,20222023,36.5,1.825
Lucas Carlsson,FLA,D,D,2,0,0,0,-1,0,2,3,1,2,20222023,1,0.5
Kevin Hayes,PHI,C,C,81,18,36,54,-22,0,23,52,22,209,20222023,178.2,2.2
Jonah Gadjovich,SJS,W,W,35,3,4,7,-3,0,57,92,5,32,20222023,42.4,1.2114
Simon Holmstrom,NYI,W,W,50,6,3,9,-4,0,0,9,22,39,20222023,39,0.78
Alex Killorn,TBL,W,W,82,27,37,64,18,2,45,61,31,143,20222023,210.5,2.5671
Rasmus Asplund,BUF/NAS,C,C,46,2,6,8,-6,1,4,23,11,54,20222023,34.9,0.7587
Jake Muzzin,TOR,D,D,4,0,1,1,0,0,2,11,10,8,20222023,8.8,2.2
Artem Zub,OTT,D,D,53,3,7,10,2,0,39,131,67,41,20222023,78.1,1.4736
Esa Lindell,DAL,D,D,82,8,16,24,29,2,10,87,147,116,20222023,149.4,1.822
Josh Leivo,STL,W,W,51,4,12,16,0,0,25,55,13,91,20222023,69.1,1.3549
Brett Ritchie,CGY/ARI,W,W,50,8,5,13,0,0,25,77,9,68,20222023,65.7,1.314
Vladislav Namestnikov,TBL/WPG,C,C,77,8,17,25,5,0,35,108,39,108,20222023,114.4,1.4857
Ian Mitchell,CHI,D,D,35,1,7,8,-8,0,8,16,37,25,20222023,33.9,0.9686
Matt Boldy,MIN,W,W,81,31,32,63,1,0,39,65,26,255,20222023,229.1,2.8284
Oskar Sundqvist,DET/MIN,C,C,67,10,18,28,-4,0,28,63,28,69,20222023,99.6,1.4866
Nick Holden,OTT,D,D,65,2,14,16,0,1,10,79,69,73,20222023,85.1,1.3092
Fabian Zetterlund,NJD/SJS,W,W,67,6,17,23,-6,0,14,53,20,118,20222023,90.4,1.3493
Philipp Kurashev,CHI,C,C,70,9,16,25,-32,0,14,38,34,116,20222023,90.4,1.2914
Jani Hakanpää,DAL,D,D,82,6,10,16,18,0,60,224,128,86,20222023,143.8,1.7537
Joel Farabee,PHI,W,W,82,15,24,39,-1,0,41,71,45,145,20222023,149.4,1.822
Corey Perry,TBL,W,W,81,12,13,25,-28,0,95,48,25,116,20222023,93.9,1.1593
Arthur Kaliyev,LAK,W,W,56,13,15,28,-5,0,12,40,10,122,20222023,102.9,1.8375
Barclay Goodrow,NYR,C,C,82,11,20,31,3,1,58,122,64,89,20222023,135.3,1.65
Nathan Walker,STL,W,W,56,2,8,10,10,0,25,82,35,43,20222023,60.5,1.0804
Kyle Criscuolo,SJS,C,C,1,1,0,1,0,0,0,2,1,2,20222023,4.1,4.1
Philip Broberg,EDM,D,D,46,1,7,8,6,0,2,28,35,32,20222023,41.3,0.8978
Max Jones,ANA,W,W,69,9,10,19,-21,0,77,110,18,107,20222023,89.5,1.2971
Martin Necas,CAR,C,CW,82,28,43,71,5,1,32,57,21,240,20222023,237.2,2.8927
Christian Fischer,ARI,W,W,80,13,14,27,-7,1,20,126,37,122,20222023,125.6,1.57
Eric Robinson,CBJ,W,W,72,12,12,24,-21,2,6,124,32,98,20222023,107.7,1.4958
Artemi Panarin,NYR,W,W,82,29,63,92,4,0,36,26,11,204,20222023,263.5,3.2134
Blake Lizotte,LAK,C,C,81,11,23,34,11,2,70,96,39,108,20222023,134.8,1.6642
K'Andre Miller,NYR,D,D,79,9,34,43,12,2,47,162,105,113,20222023,185.1,2.343
Sammy Blais,NYR/STL,W,W,71,9,16,25,4,0,30,238,35,70,20222023,132.3,1.8634
Morgan Barron,WPG,C,C,70,8,13,21,4,3,31,118,44,112,20222023,110.4,1.5771
Adam Boqvist,CBJ,D,D,46,5,19,24,-12,0,8,23,47,68,20222023,81.7,1.7761
Dylan Gambrell,OTT,C,C,60,4,6,10,-4,2,35,60,45,46,20222023,57.5,0.9583
Reilly Smith,VGK,W,W,78,26,30,56,11,4,16,69,32,180,20222023,200.7,2.5731
Jamie Drysdale,ANA,D,D,8,0,0,0,-3,0,2,7,6,8,20222023,3.9,0.4875
Sidney Crosby,PIT,C,C,82,33,60,93,8,0,52,71,47,255,20222023,300.7,3.6671
Mason Appleton,WPG,C,C,41,5,11,16,2,0,8,47,11,71,20222023,64.5,1.5732
Jon Merrill,MIN,D,D,73,2,10,12,-2,0,38,47,107,43,20222023,75.5,1.0342
Carter Verhaeghe,FLA,C,CW,81,42,31,73,10,0,46,29,31,275,20222023,261.1,3.2235
Luke Glendening,DAL,C,C,70,3,3,6,-9,2,50,114,60,65,20222023,66.1,0.9443
Reese Johnson,CHI,C,C,57,4,2,6,-15,0,38,178,23,54,20222023,64.8,1.1368
Roman Josi,NAS,D,D,67,18,41,59,5,0,36,51,146,269,20222023,245.3,3.6612
Chandler Stephenson,VGK,C,C,81,16,49,65,12,3,26,74,56,120,20222023,205.2,2.5333
Jake Middleton,MIN,D,D,79,3,12,15,15,1,72,115,155,79,20222023,122.8,1.5544
Mikey Anderson,LAK,D,D,77,5,15,20,20,1,40,162,129,90,20222023,140.1,1.8195
Steven Lorentz,SJS,C,C,80,10,9,19,-18,2,16,133,46,111,20222023,105.2,1.315
Travis Sanheim,PHI,D,D,81,7,16,23,-5,1,40,61,137,111,20222023,127,1.5679
Matt Grzelcyk,BOS,D,D,75,4,22,26,46,0,28,51,78,102,20222023,123.8,1.6507
Sam Lafferty,CHI/TOR,C,C,70,12,15,27,-11,5,37,125,33,102,20222023,118,1.6857
David Gustafsson,WPG,C,C,46,0,6,6,2,1,6,25,18,45,20222023,32,0.6957
David Perron,DET,W,W,82,24,32,56,-7,0,52,107,24,195,20222023,201.5,2.4573
Brandon Hagel,TBL,W,W,81,30,34,64,23,3,54,68,58,178,20222023,231.5,2.858
Kevin Labanc,SJS,W,W,72,15,18,33,-17,0,36,70,28,129,20222023,124.1,1.7236
Jack Drury,CAR,C,C,38,2,6,8,3,0,14,12,16,69,20222023,39.9,1.05
Braden Schneider,NYR,D,D,81,5,13,18,9,0,16,147,130,79,20222023,127.9,1.579
Jack Eichel,VGK,C,C,67,27,39,66,26,1,6,59,56,223,20222023,240,3.5821
Dawson Mercer,NJD,C,CW,82,27,29,56,22,2,14,36,63,161,20222023,203.9,2.4866
Rickard Rakell,PIT,W,W,82,28,32,60,-5,0,16,141,53,243,20222023,239.2,2.9171
Tanner Pearson,VAN,W,W,14,1,4,5,-9,0,21,20,3,17,20222023,16.6,1.1857
Vitali Kravtsov,NYR/VAN,W,W,44,4,4,8,3,0,10,28,15,43,20222023,39.6,0.9
Tim Berni,CBJ,D,D,59,1,2,3,-26,0,34,122,74,58,20222023,57.4,0.9729
Jake Sanderson,OTT,D,D,77,4,28,32,-6,0,12,43,147,132,20222023,145.3,1.887
Derick Brassard,OTT,C,C,62,13,10,23,3,0,30,90,10,92,20222023,99.3,1.6016
Marco Kasper,DET,C,C,1,0,0,0,0,0,0,3,0,1,20222023,0.8,0.8
Maxime Lajoie,CAR,D,D,3,0,0,0,0,0,0,2,0,2,20222023,0.8,0.2667
Kailer Yamamoto,EDM,W,W,58,10,15,25,12,2,24,77,24,97,20222023,105.6,1.8207
Adam Henrique,ANA,C,CW,62,22,16,38,-8,0,22,28,46,132,20222023,141.4,2.2806
Patrick Brown,PHI/OTT,C,C,61,4,8,12,-2,1,44,167,42,60,20222023,85.4,1.4
Joel Kiviranta,DAL,W,W,70,8,1,9,-9,1,40,117,20,85,20222023,69.7,0.9957
Kyle Connor,WPG,W,W,82,31,49,80,-11,0,20,43,24,273,20222023,258.1,3.1476
Jan Rutta,PIT,D,D,56,3,6,9,3,0,30,71,70,64,20222023,69.9,1.2482
Zach Whitecloud,VGK,D,D,59,5,7,12,10,0,41,90,97,64,20222023,91.9,1.5576
Peyton Krebs,BUF,C,C,74,9,17,26,-8,1,50,93,20,78,20222023,98.8,1.3351
Calle Jarnkrok,TOR,C,CW,73,20,19,39,9,3,14,50,19,106,20222023,137.6,1.8849
Brock McGinn,PIT/ANA,W,W,75,12,7,19,-6,2,21,84,43,91,20222023,96.1,1.2813
Patrick Kane,CHI/NYR,W,W,73,21,36,57,-22,0,16,13,19,227,20222023,182.1,2.4945
Tanner Jeannot,NAS/TBL,W,W,76,6,12,18,-7,1,107,290,62,107,20222023,137.9,1.8145
Kirill Kaprizov,MIN,W,W,67,40,35,75,4,0,45,66,28,261,20222023,265,3.9552
Patrik Laine,CBJ,W,W,55,22,30,52,-12,0,16,27,27,184,20222023,172.7,3.14
Jake Livingstone,NAS,D,D,5,0,1,1,-2,0,2,6,11,3,20222023,6.5,1.3
MacKenzie Weegar,CGY,D,D,81,4,27,31,15,1,43,186,117,160,20222023,174.8,2.158
Brady Tkachuk,OTT,W,W,82,35,48,83,-10,0,126,242,9,347,20222023,318.5,3.8841
Darren Helm,COL,C,C,11,0,0,0,-1,0,4,16,3,10,20222023,5.8,0.5273
Colton White,ANA,D,D,46,0,6,6,-17,0,8,34,37,30,20222023,30.8,0.6696
Nick Seeler,PHI,D,D,77,4,10,14,1,1,56,126,161,84,20222023,122.6,1.5922
Ondrej Kase,CAR,W,W,1,0,0,0,0,0,0,1,0,0,20222023,0.2,0.2
Colin Blackwell,CHI,C,C,53,2,8,10,-16,1,6,49,17,53,20222023,42.7,0.8057
Pierre Engvall,TOR/NYI,W,W,76,17,13,30,8,0,31,47,6,131,20222023,116.8,1.5368
Teuvo Teravainen,CAR,W,W,68,12,25,37,11,3,16,15,18,144,20222023,126.5,1.8603
Martin Fehervary,WAS,D,D,67,6,10,16,-11,0,31,217,128,91,20222023,134.7,2.0104
Brock Boeser,VAN,W,W,74,18,37,55,-20,0,24,49,32,178,20222023,177,2.3919
Pierre-Olivier Joseph,PIT,D,D,75,5,16,21,8,0,44,88,36,108,20222023,99.4,1.3253
John Carlson,WAS,D,D,40,9,20,29,-7,1,12,42,87,124,20222023,124.2,3.105
Jason Zucker,PIT,W,W,78,27,21,48,-4,0,47,198,29,197,20222023,209.5,2.6859
Matej Blumel,DAL,W,W,6,1,0,1,-2,0,0,7,2,7,20222023,5.8,0.9667
Miles Wood,NJD,W,W,76,13,14,27,1,0,76,100,19,167,20222023,126.4,1.6632
Victor Mete,TOR,D,D,11,0,2,2,3,0,4,3,9,7,20222023,9.6,0.8727
Alexey Toropchenko,STL,W,W,69,10,9,19,6,1,12,122,46,86,20222023,105.2,1.5246
Max Pacioretty,CAR,W,W,5,3,0,3,0,0,2,4,1,16,20222023,13.3,2.66
Jakub Zboril,BOS,D,D,22,1,3,4,-1,0,6,31,19,13,20222023,23.2,1.0545
Brad Malone,EDM,C,C,10,0,0,0,-4,0,6,26,4,7,20222023,6.6,0.66
Jayson Megna,COL/ANA,C,C,55,2,6,8,-21,0,6,47,23,36,20222023,35.2,0.64
Travis Dermott,VAN,D,D,11,1,0,1,-4,0,2,10,10,7,20222023,8.2,0.7455
Nico Sturm,SJS,C,C,74,14,12,26,-13,1,23,100,45,119,20222023,119.4,1.6135
Ryan Graves,NJD,D,D,78,8,18,26,34,2,28,83,152,141,20222023,160.6,2.059
Alex Newhook,COL,C,C,82,14,16,30,0,0,22,60,26,116,20222023,117,1.4268
Sam Bennett,FLA,C,C,63,16,24,40,5,0,54,150,35,193,20222023,176.6,2.8032
Paul Stastny,CAR,C,C,73,9,13,22,4,0,16,21,18,80,20222023,79.8,1.0932
Matt Kiersted,FLA,D,D,20,1,3,4,4,0,6,13,7,14,20222023,17.7,0.885
Brenden Dillon,WPG,D,D,82,2,21,23,2,1,76,198,108,83,20222023,137.2,1.6732
Moritz Seider,DET,D,D,82,5,37,42,-11,2,40,207,190,140,20222023,212.1,2.5866
Pierre-Edouard Bellemare,TBL,W,W,73,4,9,13,-9,2,34,67,48,51,20222023,65.3,0.8945
Kaapo Kakko,NYR,W,W,82,18,22,40,12,0,8,26,27,125,20222023,139.9,1.7061
Liam Foudy,CBJ,C,C,62,7,7,14,-26,0,8,60,18,67,20222023,58,0.9355
Tyler Seguin,DAL,C,CW,76,21,29,50,3,2,24,84,23,189,20222023,183.4,2.4132
Nazem Kadri,CGY,C,C,82,24,32,56,-19,0,56,99,31,267,20222023,212.8,2.5951
Mario Ferraro,SJS,D,D,72,4,7,11,-31,0,24,129,145,66,20222023,99.2,1.3778
Tobias Bjornfot,LAK,D,D,10,0,1,1,1,0,6,12,11,10,20222023,10,1
Quinn Hughes,VAN,D,D,78,7,69,76,15,1,34,29,71,154,20222023,221.4,2.8385
Tomas Tatar,NJD,W,W,82,20,28,48,41,0,30,65,30,153,20222023,180.9,2.2061
Josh Morrissey,WPG,D,D,78,16,60,76,2,0,41,89,119,172,20222023,256.5,3.2885
Devon Toews,COL,D,D,80,7,43,50,39,0,26,93,138,165,20222023,211.7,2.6462
Noah Cates,PHI,W,CW,82,13,25,38,3,2,12,86,65,107,20222023,148,1.8049
Andrei Kuzmenko,VAN,W,W,81,39,35,74,9,0,8,13,18,143,20222023,226.3,2.7938
Logan Couture,SJS,C,C,82,27,40,67,-30,1,19,128,70,198,20222023,238.2,2.9049
Alexis Lafrenière,NYR,W,W,81,16,23,39,10,0,33,141,28,135,20222023,160.6,1.9827
Elias Pettersson,VAN,C,C,80,39,63,102,16,9,14,74,89,257,20222023,340.7,4.2588
Taylor Hall,BOS,W,W,61,16,20,36,11,0,24,35,33,150,20222023,138.2,2.2656
David Pastrnak,BOS,W,W,82,61,52,113,34,0,38,91,33,407,20222023,406.7,4.9598
Marc Staal,FLA,D,D,82,3,12,15,10,0,43,152,122,55,20222023,114,1.3902
Kasperi Kapanen,PIT/STL,W,W,66,15,19,34,-8,1,18,99,20,116,20222023,129.6,1.9636
Michael Pezzetta,MTL,W,W,63,7,8,15,-4,0,77,239,28,70,20222023,106,1.6825
Ryan Murray,EDM,D,D,13,0,3,3,-4,0,4,11,12,8,20222023,12.2,0.9385
Auston Matthews,TOR,C,C,74,40,45,85,31,0,20,78,92,327,20222023,327.9,4.4311
Filip Hronek,DET/VAN,D,D,64,9,30,39,7,0,34,102,58,124,20222023,151.7,2.3703
Kaiden Guhle,MTL,D,D,44,4,14,18,-19,0,27,84,77,48,20222023,83.8,1.9045
Tony DeAngelo,PHI,D,D,70,11,31,42,-27,0,73,52,79,174,20222023,155.8,2.2257
Mason Marchment,DAL,W,W,68,12,19,31,-6,0,80,88,39,148,20222023,131.1,1.9279
Nikita Zaitsev,OTT/CHI,D,D,46,1,7,8,-9,0,20,95,72,20,20222023,58.9,1.2804
Warren Foegele,EDM,W,W,67,13,15,28,7,1,28,96,22,126,20222023,122.1,1.8224
Gabriel Vilardi,LAK,W,C,63,23,18,41,10,0,18,41,33,122,20222023,150.5,2.3889
Jimmy Vesey,NYR,W,W,81,11,14,25,13,1,20,98,40,123,20222023,121.1,1.4951
Frederick Gaudreau,MIN,C,C,82,19,19,38,10,5,10,42,52,138,20222023,149.6,1.8244
Mason Shaw,MIN,C,C,59,7,10,17,-1,2,79,87,27,92,20222023,84.6,1.4339
Cole Perfetti,WPG,C,C,51,8,22,30,10,0,16,35,22,90,20222023,102.6,2.0118
Viktor Arvidsson,LAK,W,W,77,26,33,59,-4,1,24,25,48,228,20222023,207.8,2.6987
Tim Stutzle,OTT,W,CW,78,39,51,90,-3,3,54,114,49,228,20222023,301.2,3.8615
Connor Murphy,CHI,D,D,80,7,6,13,-10,2,69,165,160,85,20222023,128,1.6
Zac Dalpe,FLA,C,C,14,2,2,4,-4,0,2,15,6,17,20222023,17,1.2143
Shane Pinto,OTT,C,C,82,20,15,35,-21,0,18,71,49,158,20222023,144.2,1.7585
Evander Kane,EDM,W,W,41,16,12,28,-4,2,53,124,15,146,20222023,129.3,3.1537
Ryan Lindgren,NYR,D,D,63,1,17,18,29,2,45,68,92,75,20222023,101.9,1.6175
Justin Holl,TOR,D,D,80,2,16,18,15,0,39,151,139,60,20222023,126.4,1.58
John Klingberg,ANA/MIN,D,D,67,10,23,33,-25,0,34,55,84,112,20222023,127.1,1.897
Jared Spurgeon,MIN,D,D,79,11,23,34,32,1,14,66,179,149,20222023,185.3,2.3456
Bryan Rust,PIT,W,W,81,20,26,46,-4,1,31,98,50,211,20222023,187.6,2.316
Eric Staal,FLA,C,C,72,14,15,29,-5,2,26,27,45,106,20222023,110.6,1.5361
Tyler Motte,OTT/NYR,C,W,62,8,11,19,3,1,6,118,60,109,20222023,110.3,1.779
Claude Giroux,OTT,W,CW,82,35,44,79,4,1,34,75,30,214,20222023,261,3.1829
Joel Eriksson Ek,MIN,C,C,78,23,38,61,4,3,44,119,55,247,20222023,235.9,3.0244
Alexander Kerfoot,TOR,C,C,82,10,22,32,8,2,30,54,46,133,20222023,127.6,1.5561
Derek Ryan,EDM,C,C,80,13,7,20,11,3,28,54,42,92,20222023,98.1,1.2262
Jack Roslovic,CBJ,C,C,77,11,33,44,-14,3,10,42,53,123,20222023,143.7,1.8662
Anton Lundell,FLA,C,C,73,12,21,33,1,2,43,29,32,152,20222023,124.1,1.7
