PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Jake Evans,MTL,C,C,54,2,17,19,-5,2,28,27,41,55,20222023,67.2,1.2444
Ivan Barbashev,STL/VGK,C,CW,82,16,29,45,1,1,42,182,46,126,20222023,181.7,2.2159
Ivan Provorov,PHI,D,D,82,6,21,27,-17,2,24,97,162,115,20222023,145.9,1.7793
Mark Stone,VGK,W,W,43,17,21,38,11,2,10,31,23,113,20222023,132,3.0698
Anders Lee,NYI,W,W,82,28,22,50,-3,0,50,125,57,214,20222023,212,2.5854
Ryan Pulock,NYI,D,D,82,5,21,26,10,0,14,140,128,126,20222023,151.6,1.8488
Marc-Edouard Vlasic,SJS,D,D,78,1,17,18,-14,0,16,45,116,67,20222023,90,1.1538
Liam O'Brien,ARI,C,C,56,3,8,11,-5,0,114,203,28,39,20222023,80.3,1.4339
Marcus Johansson,WAS/MIN,W,W,80,19,27,46,3,2,8,26,23,137,20222023,151.4,1.8925
Josh Norris,OTT,C,C,8,2,1,3,-1,0,6,7,6,15,20222023,13.9,1.7375
Joel Hanley,DAL,D,D,26,0,2,2,5,0,15,24,28,14,20222023,21.5,0.8269
Anthony Mantha,WAS,W,W,67,11,16,27,-8,0,31,68,24,119,20222023,107.2,1.6
Travis Konecny,PHI,W,W,60,31,30,61,-12,6,77,55,38,191,20222023,210,3.5
Rasmus Andersson,CGY,D,D,79,11,38,49,5,2,26,50,136,159,20222023,193.1,2.4443
Scott Harrington,SJS/ANA,D,D,45,4,7,11,-6,0,10,51,78,33,20222023,64.4,1.4311
Nicholas Paul,TBL,W,W,80,17,15,32,11,1,33,111,46,120,20222023,144.3,1.8038
Kyle Palmieri,NYI,C,W,55,16,17,33,13,0,24,76,17,122,20222023,130.6,2.3745
Nick Foligno,BOS,W,W,60,10,16,26,18,0,45,147,29,71,20222023,119.7,1.995
Wayne Simmonds,TOR,W,W,18,0,2,2,1,0,49,44,7,9,20222023,17,0.9444
Denis Malgin,TOR/COL,C,C,65,13,8,21,4,0,8,68,18,112,20222023,97.6,1.5015
Matthew Knies,TOR,W,W,3,0,1,1,1,0,2,2,2,4,20222023,4.1,1.3667
Nick Schmaltz,ARI,C,CW,63,22,36,58,4,1,20,12,28,132,20222023,176.4,2.8
Michael Amadio,VGK,W,C,67,16,11,27,2,0,12,56,27,99,20222023,109.7,1.6373
Pavel Buchnevich,STL,W,CW,63,26,41,67,14,2,36,54,23,123,20222023,206.5,3.2778
Alex Iafallo,LAK,W,W,59,14,22,36,14,0,20,27,33,133,20222023,132.1,2.239
Noah Hanifin,CGY,D,D,81,7,31,38,2,1,33,76,129,176,20222023,172.7,2.1321
Ryan Poehling,PIT,C,C,53,7,7,14,-2,3,8,57,41,64,20222023,70.9,1.3377
Dmitry Kulikov,ANA/PIT,D,D,67,3,13,16,-13,0,34,96,108,84,20222023,99.5,1.4851
Nikolaj Ehlers,WPG,W,W,45,12,26,38,-2,0,11,36,10,132,20222023,124,2.7556
Erik Brannstrom,OTT,D,D,74,2,16,18,5,0,38,49,103,74,20222023,95,1.2838
Sean Farrell,MTL,C,C,6,1,0,1,-2,0,0,0,2,8,20222023,4.6,0.7667
Mikael Backlund,CGY,C,C,82,19,37,56,24,4,36,97,31,260,20222023,218.9,2.6695
James Hamblin,EDM,W,W,10,0,0,0,-3,0,2,2,1,12,20222023,2.2,0.22
Sampo Ranta,COL,W,W,6,0,0,0,0,0,4,10,3,5,20222023,3.9,0.65
Aleksander Barkov,FLA,C,C,68,23,55,78,10,2,8,52,48,208,20222023,248.4,3.6529
Sheldon Dries,VAN,C,C,63,11,6,17,-9,1,29,84,40,94,20222023,89.9,1.427
Mathieu Olivier,CBJ,W,W,66,5,10,15,-20,0,81,178,58,75,20222023,97,1.4697
Evgeny Svechnikov,SJS,W,W,59,8,6,14,-6,0,26,100,21,64,20222023,73.3,1.2424
Erik Johnson,COL,D,D,63,0,8,8,8,1,12,121,102,98,20222023,92.8,1.473
Derek Grant,ANA,C,C,46,5,13,18,-4,0,26,36,26,72,20222023,69.2,1.5043
Brandon Carlo,BOS,D,D,75,3,13,16,44,2,38,128,116,94,20222023,127.4,1.6987
William Karlsson,VGK,C,C,82,14,39,53,14,5,10,50,50,161,20222023,181.4,2.2122
Samuel Girard,COL,D,D,76,6,31,37,-10,1,16,67,116,119,20222023,149,1.9605
Chris Wagner,BOS,W,W,1,0,0,0,0,0,0,6,1,0,20222023,1.5,1.5
Nils Aman,VAN,C,C,68,4,12,16,-12,2,18,44,41,50,20222023,63.5,0.9338
Trevor Moore,LAK,W,W,59,10,19,29,-2,2,14,60,23,163,20222023,118.9,2.0153
Mitch Marner,TOR,W,W,80,30,69,99,18,5,28,53,45,196,20222023,296.7,3.7088
Robby Fabbri,DET,C,C,28,7,9,16,-1,0,22,49,15,35,20222023,60,2.1429
Jake Bean,CBJ,D,D,14,1,5,6,-2,0,6,13,21,16,20222023,24.5,1.75
Vincent Trocheck,NYR,C,C,82,22,42,64,3,0,58,182,44,225,20222023,245.5,2.9939
Joel Edmundson,MTL,D,D,61,2,11,13,-29,1,58,112,149,69,20222023,100.2,1.6426
Quinton Byfield,LAK,C,C,53,3,19,22,13,0,30,53,16,74,20222023,81.1,1.5302
Erik Cernak,TBL,D,D,70,2,14,16,8,2,53,209,100,87,20222023,125.6,1.7943
Brock Faber,MIN,D,D,2,0,0,0,2,0,0,0,9,1,20222023,3.5,1.75
Vinnie Hinostroza,BUF,C,C,26,2,9,11,-1,1,6,1,7,38,20222023,33.6,1.2923
Curtis Lazar,VAN/NJD,C,C,49,3,2,5,-6,0,21,138,53,55,20222023,65.7,1.3408
William Carrier,VGK,W,W,56,16,9,25,15,0,30,133,22,118,20222023,127.3,2.2732
Jack Johnson,CHI/COL,D,D,83,2,6,8,-15,2,28,117,127,92,20222023,93.4,1.1253
J.J. Moser,ARI,D,D,82,7,24,31,-12,0,35,80,137,93,20222023,141.1,1.7207
Kirby Dach,MTL,C,C,58,14,24,38,-2,2,43,53,38,107,20222023,132.8,2.2897
Matthew Tkachuk,FLA,W,W,79,40,69,109,29,1,123,68,31,322,20222023,354,4.481
Henrik Borgstrom,WAS,C,C,1,0,0,0,0,0,0,0,0,0,20222023,0,0
Justin Danforth,CBJ,W,W,6,2,1,3,-3,0,4,7,1,10,20222023,10.8,1.8
Ben Harpur,NYR,D,D,42,1,5,6,0,0,20,63,57,34,20222023,49.5,1.1786
Isac Lundestrom,ANA,C,C,61,4,10,14,-13,1,2,20,43,60,20222023,57,0.9344
Jacob Peterson,DAL/SJS,C,C,12,2,6,8,-12,0,4,12,5,21,20222023,22.5,1.875
Alex Goligoski,MIN,D,D,46,2,4,6,-9,0,16,33,67,63,20222023,50.6,1.1
Tyce Thompson,NJD,W,W,2,0,0,0,-1,0,0,0,2,1,20222023,0.5,0.25
Jacob Moverare,LAK,D,D,2,0,0,0,-1,0,0,3,4,6,20222023,2.7,1.35
Troy Stecher,ARI/CGY,D,D,81,3,11,14,-6,0,44,70,92,88,20222023,88.4,1.0914
Jaccob Slavin,CAR,D,D,76,7,20,27,18,1,8,36,103,131,20222023,130.7,1.7197
Mark Scheifele,WPG,C,C,81,42,26,68,-16,0,43,50,38,206,20222023,235.8,2.9111
Jesperi Kotkaniemi,CAR,C,C,82,18,25,43,10,1,50,105,21,129,20222023,160.1,1.9524
Zemgus Girgensons,BUF,W,W,80,10,8,18,-5,0,14,96,49,114,20222023,101.2,1.265
Noah Dobson,NYI,D,D,78,13,36,49,4,0,20,60,104,206,20222023,196.6,2.5205
Connor Mackey,CGY/ARI,D,D,30,3,4,7,-4,0,48,61,29,31,20222023,42.9,1.43
T.J. Oshie,WAS,W,W,58,19,16,35,-18,0,59,125,34,126,20222023,144,2.4828
Anton Stralman,BOS,D,D,8,0,0,0,-3,0,2,12,10,3,20222023,5.1,0.6375
Marco Scandella,STL,D,D,20,1,1,2,2,0,6,27,26,17,20222023,22.2,1.11
Alex Belzile,MTL,W,W,31,6,8,14,0,0,13,27,22,40,20222023,54,1.7419
Stefan Noesen,CAR,W,W,78,13,23,36,11,0,32,99,18,134,20222023,140.3,1.7987
Hudson Fasching,NYI,W,W,49,10,9,19,10,0,10,45,22,61,20222023,78.8,1.6082
Troy Terry,ANA,W,W,70,23,38,61,-8,0,22,12,23,188,20222023,189.5,2.7071
Joel Armia,MTL,W,W,43,7,7,14,-7,1,22,37,25,69,20222023,61.6,1.4326
Max Comtois,ANA,W,W,64,9,10,19,-20,0,76,81,27,89,20222023,83.1,1.2984
Markus Niemelainen,EDM,D,D,23,0,0,0,3,0,4,61,16,16,20222023,21.1,0.9174
Zach Parise,NYI,W,W,82,21,13,34,7,3,24,89,83,182,20222023,170.2,2.0756
Casey Fitzgerald,BUF/FLA,D,D,27,0,3,3,-2,0,4,35,12,13,20222023,18.6,0.6889
Colton Parayko,STL,D,D,79,4,23,27,-19,1,30,115,144,133,20222023,145.1,1.8367
Matt Benning,SJS,D,D,77,1,23,24,-18,1,26,102,125,58,20222023,113.1,1.4688
Adam Fox,NYR,D,D,82,12,60,72,28,3,34,25,125,159,20222023,238.7,2.911
Nick Perbix,TBL,D,D,69,5,15,20,11,0,22,73,65,111,20222023,104.6,1.5159
Jarred Tinordi,CHI,D,D,44,2,6,8,-17,0,40,139,68,32,20222023,67.5,1.5341
Adin Hill,VGK,G,G,27,16,2.2962962962963,0.914127423822715,0,660,7,62,20222023,NA,NA,81.4,3.0148
Linus Ullmark,BOS,G,G,49,40,1.85714285714286,0.937542896362389,2,1366,6,91,20222023,NA,NA,218.1,4.451
Connor Hellebuyck,WPG,G,G,64,37,2.453125,0.920061099796334,4,1807,25,157,20222023,NA,NA,231.45,3.6164
Antti Raanta,CAR,G,G,27,19,2.14814814814815,0.909937888198758,4,586,3,58,20222023,NA,NA,91.5,3.3889
John Gibson,ANA,G,G,53,14,3.77358490566038,0.899142713061019,1,1783,31,200,20222023,NA,NA,138.45,2.6123
Cal Petersen,LAK,G,G,10,5,3.4,0.867704280155642,0,223,3,34,20222023,NA,NA,16.25,1.625
Dylan Wells,CHI,G,G,1,0,1,0.923076923076923,0,12,0,1,20222023,NA,NA,1,1
Ilya Samsonov,TOR,G,G,42,27,2.28571428571429,0.918918918918919,4,1088,10,96,20222023,NA,NA,152.4,3.6286
Collin Delia,VAN,G,G,20,10,3.1,0.88212927756654,0,464,6,62,20222023,NA,NA,40,2
Frederik Andersen,CAR,G,G,34,21,2.41176470588235,0.903415783274441,1,767,11,82,20222023,NA,NA,94.45,2.7779
Anton Forsberg,OTT,G,G,28,11,2.85714285714286,0.902080783353733,2,737,11,80,20222023,NA,NA,74.55,2.6625
Pavel Francouz,COL,G,G,16,8,2.625,0.914807302231237,1,451,7,42,20222023,NA,NA,53.05,3.3156
Joonas Korpisalo,CBJ/LAK,G,G,39,18,2.66666666666667,0.913835956917979,1,1103,14,104,20222023,NA,NA,121.25,3.109
Kaapo Kahkonen,SJS,G,G,37,9,3.64864864864865,0.882506527415144,1,1014,20,135,20222023,NA,NA,65.1,1.7595
Jack Campbell,EDM,G,G,36,21,3.19444444444444,0.888023369036027,1,912,9,115,20222023,NA,NA,89.8,2.4944
Lukas Dostal,ANA,G,G,19,4,3.52631578947368,0.901325478645066,0,612,10,67,20222023,NA,NA,46.2,2.4316
Darcy Kuemper,WAS,G,G,57,22,2.70175438596491,0.908059701492537,5,1521,26,154,20222023,NA,NA,163.95,2.8763
Devon Levi,BUF,G,G,7,5,3,0.905405405405405,0,201,2,21,20222023,NA,NA,23.35,3.3357
Connor Ingram,ARI,G,G,27,6,3.2962962962963,0.907291666666667,1,871,13,89,20222023,NA,NA,74.45,2.7574
David Rittich,WPG,G,G,21,9,2.38095238095238,0.901185770750988,0,456,8,50,20222023,NA,NA,46.4,2.2095
Jacob Markstrom,CGY,G,G,59,23,2.8135593220339,0.892347600518807,1,1376,21,166,20222023,NA,NA,122.6,2.078
Dustin Wolf,CGY,G,G,1,1,1,0.958333333333333,0,23,0,1,20222023,NA,NA,4.65,4.65
Scott Wedgewood,DAL,G,G,21,9,2.42857142857143,0.915422885572139,1,552,8,51,20222023,NA,NA,63,3
Ukko-Pekka Luukkonen,BUF,G,G,33,17,3.48484848484849,0.890995260663507,0,940,11,115,20222023,NA,NA,83,2.5152
Petr Mrazek,CHI,G,G,39,10,3.38461538461538,0.894230769230769,0,1116,22,132,20222023,NA,NA,81.8,2.0974
Karel Vejmelka,ARI,G,G,50,18,3.36,0.899461400359066,3,1503,24,168,20222023,NA,NA,136.05,2.721
Ville Husso,DET,G,G,56,26,2.98214285714286,0.895820336868372,4,1436,22,167,20222023,NA,NA,145.8,2.6036
Jeremy Swayman,BOS,G,G,37,24,2.05405405405405,0.920251836306401,4,877,6,76,20222023,NA,NA,130.75,3.5338
Sam Montembeault,MTL,G,G,40,16,3.325,0.901115241635688,0,1212,19,133,20222023,NA,NA,107.4,2.685
Dan Vladar,CGY,G,G,27,14,2.66666666666667,0.89237668161435,0,597,6,72,20222023,NA,NA,59.95,2.2204
Vitek Vanecek,NJD,G,G,52,33,2.28846153846154,0.91072768192048,3,1214,11,119,20222023,NA,NA,161.9,3.1135
James Reimer,SJS,G,G,43,12,3.41860465116279,0.889887640449438,3,1188,21,147,20222023,NA,NA,93.6,2.1767
Felix Sandstrom,PHI,G,G,20,3,3.45,0.88,0,506,12,69,20222023,NA,NA,26.7,1.335
Spencer Knight,FLA,G,G,21,9,2.95238095238095,0.901116427432217,1,565,8,62,20222023,NA,NA,56.15,2.6738
Carter Hart,PHI,G,G,55,22,2.81818181818182,0.906906906906907,2,1510,23,155,20222023,NA,NA,152.5,2.7727
Marc-Andre Fleury,MIN,G,G,46,24,2.73913043478261,0.907827359180688,2,1241,16,126,20222023,NA,NA,139.35,3.0293
Jiri Patera,VGK,G,G,2,2,2.5,0.928571428571429,0,65,0,5,20222023,NA,NA,9.75,4.875
Ilya Sorokin,NYI,G,G,62,31,2.25806451612903,0.923871669385536,6,1699,22,140,20222023,NA,NA,222.85,3.5944
Pyotr Kochetkov,CAR,G,G,24,12,2.375,0.909090909090909,4,570,7,57,20222023,NA,NA,75.9,3.1625
Laurent Brossoit,VGK,G,G,11,7,2.09090909090909,0.927444794952681,0,294,0,23,20222023,NA,NA,39.7,3.6091
Magnus Hellberg,OTT/DET,G,G,18,5,2.77777777777778,0.888143176733781,0,397,8,50,20222023,NA,NA,29.55,1.6417
Andrei Vasilevskiy,TBL,G,G,60,34,2.65,0.9152,4,1716,22,159,20222023,NA,NA,210.2,3.5033
Elvis Merzlikins,CBJ,G,G,30,7,3.66666666666667,0.876265466816648,0,779,18,110,20222023,NA,NA,42.85,1.4283
Brian Elliott,TBL,G,G,22,12,3.40909090909091,0.891146589259797,2,614,8,75,20222023,NA,NA,62.1,2.8227
Casey DeSmith,PIT,G,G,38,15,2.86842105263158,0.904553415061296,0,1033,16,109,20222023,NA,NA,97.75,2.5724
Jon Gillies,CBJ,G,G,3,1,3,0.863636363636364,0,57,1,9,20222023,NA,NA,3.35,1.1167
Juuse Saros,NAS,G,G,64,33,2.671875,0.918532634587899,2,1928,23,171,20222023,NA,NA,224.4,3.5062
Matt Murray,TOR,G,G,26,14,2.84615384615385,0.902759526938239,1,687,8,74,20222023,NA,NA,74.85,2.8788
Mackenzie Blackwood,NJD,G,G,22,10,2.72727272727273,0.893428063943162,0,503,6,60,20222023,NA,NA,47.45,2.1568
Charlie Lindgren,WAS,G,G,31,13,2.7741935483871,0.899179366940211,0,767,11,86,20222023,NA,NA,72.25,2.3306
Akira Schmid,NJD,G,G,18,9,1.77777777777778,0.92156862745098,1,376,5,32,20222023,NA,NA,51.8,2.8778
Alex Lyon,FLA,G,G,15,9,2.86666666666667,0.912065439672802,1,446,4,43,20222023,NA,NA,53.5,3.5667
Kevin Lankinen,NAS,G,G,19,9,2.57894736842105,0.915951972555746,0,534,8,49,20222023,NA,NA,58.9,3.1
Tristan Jarry,PIT,G,G,47,24,2.72340425531915,0.90947666195191,2,1286,13,128,20222023,NA,NA,144.5,3.0745
Michael Hutchinson,CBJ,G,G,16,2,3.375,0.875288683602771,0,379,6,54,20222023,NA,NA,17.65,1.1031
Semyon Varlamov,NYI,G,G,23,11,2.60869565217391,0.912917271407837,2,629,9,60,20222023,NA,NA,74.35,3.2326
Cam Talbot,OTT,G,G,36,17,2.63888888888889,0.898395721925134,1,840,14,95,20222023,NA,NA,87,2.4167
Eric Comrie,BUF,G,G,19,9,3.57894736842105,0.885521885521886,1,526,9,68,20222023,NA,NA,45.5,2.3947
Jonathan Quick,LAK/VGK,G,G,41,16,3.09756097560976,0.882407407407407,2,953,15,127,20222023,NA,NA,79.35,1.9354
Jaroslav Halak,NYR,G,G,25,10,2.64,0.902941176470588,1,614,9,66,20222023,NA,NA,62.3,2.492
Pheonix Copley,LAK,G,G,37,24,2.48648648648649,0.90285110876452,1,855,6,92,20222023,NA,NA,105.65,2.8554
Matt Murray,DAL,G,G,3,1,3.33333333333333,0.84375,0,54,2,10,20222023,NA,NA,2.1,0.7
Keith Kinkaid,BOS/COL,G,G,2,1,1,0.95,0,38,0,2,20222023,NA,NA,6.1,3.05
Craig Anderson,BUF,G,G,26,11,2.92307692307692,0.907654921020656,1,747,11,76,20222023,NA,NA,76.25,2.9327
Jake Allen,MTL,G,G,42,15,3.45238095238095,0.891385767790262,1,1190,24,145,20222023,NA,NA,95.5,2.2738
Sergei Bobrovsky,FLA,G,G,50,24,2.9,0.901091405184175,1,1321,20,145,20222023,NA,NA,133.15,2.663
Logan Thompson,VGK,G,G,37,21,2.59459459459459,0.915194346289753,2,1036,13,96,20222023,NA,NA,126.6,3.4216
Stuart Skinner,EDM,G,G,50,29,2.66,0.913467794404684,1,1404,14,133,20222023,NA,NA,165.2,3.304
Thatcher Demko,VAN,G,G,32,14,3.09375,0.901492537313433,1,906,14,99,20222023,NA,NA,87.7,2.7406
Igor Shesterkin,NYR,G,G,58,37,2.48275862068966,0.916230366492147,3,1575,13,144,20222023,NA,NA,204.05,3.5181
Jake Oettinger,DAL,G,G,62,37,2.32258064516129,0.918964546989308,5,1633,11,144,20222023,NA,NA,218.75,3.5282
Thomas Greiss,STL,G,G,21,7,3.14285714285714,0.894736842105263,1,561,10,66,20222023,NA,NA,48.35,2.3024
Alexandar Georgiev,COL,G,G,62,40,2.51612903225806,0.918110236220472,5,1749,16,156,20222023,NA,NA,232.55,3.7508
Anthony Stolarz,ANA,G,G,19,5,2.68421052631579,0.896969696969697,0,444,6,51,20222023,NA,NA,35.8,1.8842
Alex Stalock,CHI,G,G,27,9,2.74074074074074,0.907960199004975,2,730,15,74,20222023,NA,NA,74.3,2.7519
Jordan Binnington,STL,G,G,61,27,3.18032786885246,0.893756845564075,2,1632,27,194,20222023,NA,NA,149.6,2.4525
Filip Gustavsson,MIN,G,G,39,22,2.07692307692308,0.930946291560102,3,1092,9,81,20222023,NA,NA,152,3.8974
Vince Dunn,SEA,D,D,81,14,50,64,28,0,NA,115,80,149,20222023,227.2,2.8
Michael Stone,CGY,D,D,48,6,5,11,2,0,35,54,59,92,20222023,75.5,1.5729
Matty Beniers,SEA,C,C,80,24,33,57,14,1,NA,79,48,148,NA,203,2.53
Eeli Tolvanen,SEA,W,W,61,18,13,31,8,0,NA,91,51,116,NA,139.1,2.29
Philipp Grubauer,SEA,G,G,39,17,NA,NA,0,832,NA,98,NA,NA,NA,80.4,2.07
Jared McCann,SEA,W,W,79,40,30,70,18,3,NA,65,28,210,NA,251.8,3.2
Jordan Eberle,SEA,W,W,82,20,43,63,6,0,NA,44,25,177,NA,199.5,2.42
Andre Burakovsky,SEA,W,W,49,13,26,39,−9,0,NA,17,15,105,NA,117.2,2.41
Adam Larsson,SEA,D,D,82,8,25,33,27,1,NA,222,173,143,NA,208,2.53
Oliver Bjorkstrand,SEA,W,W,81,20,25,45,−1,0,NA,63,38,198,NA,173.3,2.16
Yanni Gourde,SEA,C,C,81,14,34,48,23,1,NA,118,54,141,NA,185.9,2.29
Joseph Woll,TOR,G,G,7,6,NA,NA,0,204,NA,15,NA,NA,NA,30.6,4.38
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLAYER,TEAM,POS,POS,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
